行政区,坐标,数量
闵行区,"121.546106,31.021615",26
闵行区,"121.546106,31.004615",2
闵行区,"121.563106,31.021615",2
闵行区,"121.563106,31.004615",2
奉贤区,"121.360244,30.934137",2
奉贤区,"121.360244,30.925137",2
奉贤区,"121.360244,30.898137",2
奉贤区,"121.369244,30.979137",3
奉贤区,"121.369244,30.970137",1
奉贤区,"121.369244,30.961137",2
奉贤区,"121.369244,30.952137",17
奉贤区,"121.369244,30.943137",3
奉贤区,"121.369244,30.934137",1
奉贤区,"121.369244,30.925137",1
奉贤区,"121.369244,30.898137",1
奉贤区,"121.369244,30.889137",1
奉贤区,"121.378244,30.979137",2
奉贤区,"121.378244,30.970137",1
奉贤区,"121.378244,30.961137",14
奉贤区,"121.378244,30.952137",27
奉贤区,"121.378244,30.943137",5
奉贤区,"121.378244,30.907137",4
奉贤区,"121.378244,30.898137",13
奉贤区,"121.378244,30.889137",1
奉贤区,"121.378244,30.880137",1
奉贤区,"121.387244,30.979137",1
奉贤区,"121.387244,30.970137",1
奉贤区,"121.387244,30.961137",49
奉贤区,"121.387244,30.952137",43
奉贤区,"121.387244,30.943137",3
奉贤区,"121.387244,30.925137",1
奉贤区,"121.387244,30.916137",2
奉贤区,"121.387244,30.907137",47
奉贤区,"121.387244,30.898137",40
奉贤区,"121.387244,30.889137",9
奉贤区,"121.387244,30.880137",2
奉贤区,"121.387244,30.871137",3
奉贤区,"121.387244,30.835137",1
奉贤区,"121.396244,30.988137",8
奉贤区,"121.396244,30.979137",1
奉贤区,"121.396244,30.970137",58
奉贤区,"121.396244,30.961137",194
奉贤区,"121.396244,30.952137",101
奉贤区,"121.396244,30.943137",2
奉贤区,"121.396244,30.934137",1
奉贤区,"121.396244,30.925137",1
奉贤区,"121.396244,30.916137",6
奉贤区,"121.396244,30.907137",170
奉贤区,"121.396244,30.898137",178
奉贤区,"121.396244,30.889137",21
奉贤区,"121.396244,30.880137",19
奉贤区,"121.396244,30.871137",7
奉贤区,"121.396244,30.862137",3
奉贤区,"121.396244,30.853137",1
奉贤区,"121.396244,30.844137",1
奉贤区,"121.396244,30.835137",1
奉贤区,"121.405244,30.979137",1
奉贤区,"121.405244,30.970137",21
奉贤区,"121.405244,30.961137",175
奉贤区,"121.405244,30.952137",70
奉贤区,"121.405244,30.943137",2
奉贤区,"121.405244,30.934137",6
奉贤区,"121.405244,30.925137",8
奉贤区,"121.405244,30.916137",6
奉贤区,"121.405244,30.907137",138
奉贤区,"121.405244,30.898137",111
奉贤区,"121.405244,30.889137",16
奉贤区,"121.405244,30.880137",16
奉贤区,"121.405244,30.871137",6
奉贤区,"121.405244,30.862137",2
奉贤区,"121.405244,30.853137",1
奉贤区,"121.405244,30.844137",1
奉贤区,"121.405244,30.835137",3
奉贤区,"121.405244,30.826137",3
奉贤区,"121.414244,30.988137",8
奉贤区,"121.414244,30.979137",4
奉贤区,"121.414244,30.961137",15
奉贤区,"121.414244,30.952137",7
奉贤区,"121.414244,30.943137",2
奉贤区,"121.414244,30.934137",6
奉贤区,"121.414244,30.925137",10
奉贤区,"121.414244,30.916137",8
奉贤区,"121.414244,30.907137",22
奉贤区,"121.414244,30.898137",17
奉贤区,"121.414244,30.889137",3
奉贤区,"121.414244,30.880137",3
奉贤区,"121.414244,30.853137",1
奉贤区,"121.414244,30.844137",1
奉贤区,"121.414244,30.835137",3
奉贤区,"121.414244,30.826137",2
奉贤区,"121.423244,30.988137",423
奉贤区,"121.423244,30.979137",48
奉贤区,"121.423244,30.970137",11
奉贤区,"121.423244,30.961137",25
奉贤区,"121.423244,30.952137",4
奉贤区,"121.423244,30.943137",2
奉贤区,"121.423244,30.934137",4
奉贤区,"121.423244,30.925137",8
奉贤区,"121.423244,30.916137",10
奉贤区,"121.423244,30.907137",33
奉贤区,"121.423244,30.898137",22
奉贤区,"121.423244,30.889137",5
奉贤区,"121.423244,30.880137",3
奉贤区,"121.423244,30.871137",3
奉贤区,"121.423244,30.862137",1
奉贤区,"121.423244,30.853137",5
奉贤区,"121.423244,30.844137",7
奉贤区,"121.423244,30.835137",84
奉贤区,"121.423244,30.826137",70
奉贤区,"121.432244,30.997137",638
奉贤区,"121.432244,30.988137",676
奉贤区,"121.432244,30.979137",151
奉贤区,"121.432244,30.970137",143
奉贤区,"121.432244,30.961137",145
奉贤区,"121.432244,30.952137",9
奉贤区,"121.432244,30.943137",7
奉贤区,"121.432244,30.934137",12
奉贤区,"121.432244,30.925137",40
奉贤区,"121.432244,30.916137",102
奉贤区,"121.432244,30.907137",119
奉贤区,"121.432244,30.898137",26
奉贤区,"121.432244,30.889137",11
奉贤区,"121.432244,30.880137",4
奉贤区,"121.432244,30.871137",1
