行政区,坐标,数量
奉贤区,"121.756244,30.862137",1
奉贤区,"121.765244,30.934137",1
奉贤区,"121.765244,30.925137",2
奉贤区,"121.765244,30.916137",4
奉贤区,"121.765244,30.907137",59
奉贤区,"121.765244,30.898137",17
奉贤区,"121.765244,30.889137",12
奉贤区,"121.765244,30.880137",7
奉贤区,"121.765244,30.871137",3
奉贤区,"121.765244,30.853137",1
奉贤区,"121.774244,30.925137",2
奉贤区,"121.774244,30.916137",2
奉贤区,"121.774244,30.907137",2
奉贤区,"121.774244,30.898137",4
奉贤区,"121.774244,30.889137",2
